id_itens,data_compra,status_id,from_iata,to_iata,tipo_viagem,data_ida,data_volta,valor_passagem,milhas_usadas,adultos,criancas,mes_compra,dia_semana_compra,usa_milhas,passageiros_total,status,iata,is_mercosul
111,2019-08-20,1,SCL,GIG,Somente ida,2019-08-29 04:03:00,,1906.42004394531,43000,2,0,2019-08,Tuesday,True,2,Transacao emitida,SCLGIG,1
112,2019-08-12,1,GIG,BOG,Ida e volta,2019-08-29 06:30:00,2019-09-03 21:15:00,2433.84008789062,0,1,0,2019-08,Monday,False,1,Transacao emitida,GIGBOG,1
113,2019-08-05,2,MIA,YYZ,Somente ida,2019-08-29 20:45:00,,486.119995117187,17000,1,0,2019-08,Monday,True,1,Transacao cancelada,MIAYYZ,0
114,2019-08-03,1,GIG,MIA,Somente ida,2019-08-30 11:30:00,,1600.83996582031,54000,1,0,2019-08,Saturday,True,1,Transacao emitida,GIGMIA,0
115,2019-08-04,1,GIG,IOS,Somente ida,2019-08-30 11:40:00,,488.850006103515,0,1,0,2019-08,Sunday,False,1,Transacao emitida,GIGIOS,1
116,2019-08-29,2,MIA,GIG,Somente ida,2019-08-30 19:40:00,,1884.95996093749,53068,1,0,2019-08,Thursday,True,1,Transacao cancelada,MIAGIG,1
117,2019-08-07,1,MIA,YYZ,Somente ida,2019-08-30 20:45:00,,694.109985351562,27000,1,0,2019-08,Wednesday,True,1,Transacao emitida,MIAYYZ,0
118,2019-08-11,1,GIG,SCL,Ida e volta,2019-08-31 18:10:00,2019-09-30 13:57:00,1467.48999023437,31500,1,0,2019-08,Sunday,True,1,Transacao emitida,GIGSCL,1
119,2019-08-23,1,GIG,BOG,Somente ida,2019-08-31 18:10:00,,951.859985351562,20000,1,0,2019-08,Friday,True,1,Transacao emitida,GIGBOG,1
120,2019-08-31,1,SCL,EZE,Somente ida,2019-09-01 15:00:00,,1074.43994140624,21800,2,0,2019-08,Saturday,True,2,Transacao emitida,SCLEZE,1
121,2019-08-31,1,GIG,MIA,Somente ida,2019-09-01 20:40:00,,1436.61999511718,40000,1,0,2019-08,Saturday,True,1,Transacao emitida,GIGMIA,0
122,2019-08-15,2,GIG,MIA,Ida e volta,2019-09-02 05:30:00,2019-09-16 16:15:00,8379.54980468749,0,2,2,2019-08,Thursday,False,4,Transacao cancelada,GIGMIA,0
123,2019-08-08,1,GIG,MCO,Ida e volta,2019-09-02 06:30:00,2019-10-02 15:05:00,2693.8701171875,0,1,0,2019-08,Thursday,False,1,Transacao emitida,GIGMCO,0
124,2019-08-26,2,GIG,IOS,Somente ida,2019-09-02 08:00:00,,1330.15002441406,0,1,0,2019-08,Monday,False,1,Transacao cancelada,GIGIOS,1
125,2019-08-08,2,MIA,GIG,Somente ida,2019-09-02 19:55:00,,9992.1201171875,240000,2,0,2019-08,Thursday,True,2,Transacao cancelada,MIAGIG,1
126,2019-08-11,1,MIA,YYZ,Somente ida,2019-09-02 20:45:00,,453.429992675781,17000,1,0,2019-08,Sunday,True,1,Transacao emitida,MIAYYZ,0
127,2019-08-11,1,MIA,YYZ,Somente ida,2019-09-02 20:45:00,,453.429992675781,17000,1,0,2019-08,Sunday,True,1,Transacao emitida,MIAYYZ,0
128,2019-08-23,2,MIA,GIG,Somente ida,2019-09-02 22:55:00,,1459.19995117187,40000,1,0,2019-08,Friday,True,1,Transacao cancelada,MIAGIG,1
129,2019-08-29,1,GIG,CUN,Ida e volta,2019-09-03 01:25:00,2019-09-08 14:08:00,6436.60986328125,0,2,0,2019-08,Thursday,False,2,Transacao emitida,GIGCUN,0
130,2019-08-24,2,GIG,BOG,Ida e volta,2019-09-03 11:30:00,2019-09-09 18:08:00,10942.9003906249,0,4,3,2019-08,Saturday,False,7,Transacao cancelada,GIGBOG,1
131,2019-08-24,2,GIG,BOG,Ida e volta,2019-09-03 11:30:00,2019-09-09 18:08:00,11017.0195312499,0,4,3,2019-08,Saturday,False,7,Transacao cancelada,GIGBOG,1
132,2019-08-30,1,EZE,GIG,Somente ida,2019-09-03 16:30:00,,1617.93994140624,35000,2,0,2019-08,Friday,True,2,Transacao emitida,EZEGIG,1
133,2019-08-19,1,GIG,BOG,Somente ida,2019-09-03 23:05:00,,784.859985351562,18000,1,0,2019-08,Monday,True,1,Transacao emitida,GIGBOG,1
134,2019-08-30,1,SCL,GIG,Somente ida,2019-09-04 05:33:00,,1065.02001953125,26500,1,0,2019-08,Friday,True,1,Transacao emitida,SCLGIG,1
135,2019-08-22,1,GIG,EZE,Somente ida,2019-09-04 07:10:00,,611.039978027343,0,1,0,2019-08,Thursday,False,1,Transacao emitida,GIGEZE,1
136,2019-09-01,1,GIG,EZE,Somente ida,2019-09-04 17:10:00,,536.960021972656,16000,1,0,2019-09,Sunday,True,1,Transacao emitida,GIGEZE,1
137,2019-08-26,2,EZE,GIG,Somente ida,2019-09-04 17:15:00,,1533.28002929687,36000,2,0,2019-08,Monday,True,2,Transacao cancelada,EZEGIG,1
138,2019-08-12,2,GIG,MIA,Ida e volta,2019-09-05 05:30:00,2019-09-16 16:15:00,2361.98999023437,0,1,0,2019-08,Monday,False,1,Transacao cancelada,GIGMIA,0
139,2019-08-15,1,GIG,EZE,Somente ida,2019-09-05 06:35:00,,487.799987792968,15000,1,0,2019-08,Thursday,True,1,Transacao emitida,GIGEZE,1
140,2019-09-05,2,BCN,LIS,Somente ida,2019-09-06 06:55:00,,718.159973144531,0,1,0,2019-09,Thursday,False,1,Transacao cancelada,BCNLIS,0
141,2019-08-25,1,BCN,GIG,Somente ida,2019-09-06 09:30:00,,2716.23999023437,0,1,0,2019-08,Sunday,False,1,Transacao emitida,BCNGIG,1
142,2019-08-19,1,EZE,SCL,Somente ida,2019-09-06 09:55:00,,372.950012207031,0,1,0,2019-08,Monday,False,1,Transacao emitida,EZESCL,1
143,2019-08-01,1,GIG,LIS,Ida e volta,2019-09-06 21:50:00,2019-09-20 07:20:00,4542.18994140624,0,1,0,2019-08,Thursday,False,1,Transacao emitida,GIGLIS,0
144,2019-08-20,1,SCL,EZE,Somente ida,2019-09-07 06:25:00,,694.799987792968,0,2,0,2019-08,Tuesday,False,2,Transacao emitida,SCLEZE,1
145,2019-08-06,1,GIG,IOS,Ida e volta,2019-09-07 09:00:00,2019-09-14 13:20:00,1909.19995117187,0,2,0,2019-08,Tuesday,False,2,Transacao emitida,GIGIOS,1
146,2019-08-19,1,GIG,SCL,Somente ida,2019-09-07 11:30:00,,833.400024414062,19000,1,0,2019-08,Monday,True,1,Transacao emitida,GIGSCL,1
147,2019-08-13,1,EZE,GIG,Somente ida,2019-09-07 17:15:00,,726.409973144531,16200,1,0,2019-08,Tuesday,True,1,Transacao emitida,EZEGIG,1
148,2019-09-04,1,MIA,GIG,Somente ida,2019-09-07 22:50:00,,1556.0,40000,1,0,2019-09,Wednesday,True,1,Transacao emitida,MIAGIG,1
149,2019-09-06,3,EZE,GIG,Somente ida,2019-09-08 04:10:00,,1573.81994628906,31000,2,0,2019-09,Friday,True,2,Aguardando forma de pagamento,EZEGIG,1
150,2019-09-06,3,EZE,GIG,Somente ida,2019-09-08 04:10:00,,799.619995117187,15500,1,0,2019-09,Friday,True,1,Aguardando forma de pagamento,EZEGIG,1
151,2019-09-06,3,EZE,GIG,Somente ida,2019-09-08 04:10:00,,799.619995117187,15500,1,0,2019-09,Friday,True,1,Aguardando forma de pagamento,EZEGIG,1
152,2019-09-06,1,EZE,GIG,Somente ida,2019-09-08 04:10:00,,1573.81994628906,31000,2,0,2019-09,Friday,True,2,Transacao emitida,EZEGIG,1
153,2019-09-05,3,EZE,GIG,Somente ida,2019-09-08 04:10:00,,1520.47998046874,31000,2,0,2019-09,Thursday,True,2,Aguardando forma de pagamento,EZEGIG,1
154,2019-09-05,1,GIG,EZE,Ida e volta,2019-09-08 14:25:00,2019-09-13 10:35:00,2000.08996582031,0,1,0,2019-09,Thursday,False,1,Transacao emitida,GIGEZE,1
